Image,Mode,Attack,PSNR,SSIM,BER,Result
Baboon,AI_Mode,No Attack,54.84,0.9789,0.0,PASS
Baboon,AI_Mode,JPEG Q=90,31.04,0.9556,0.4316,FAIL
Baboon,AI_Mode,JPEG Q=70,30.08,0.908,0.3349,FAIL
Baboon,AI_Mode,Noise (Gauss),37.9,0.9673,0.0,PASS
Baboon,AI_Mode,Crop 5%,35.21,0.8098,0.3703,FAIL
Baboon,Robust_Mode,No Attack,54.83,0.9789,0.0,PASS
Baboon,Robust_Mode,JPEG Q=90,31.04,0.9556,0.4175,FAIL
Baboon,Robust_Mode,JPEG Q=70,30.08,0.908,0.3137,FAIL
Baboon,Robust_Mode,Noise (Gauss),37.88,0.9672,0.0,PASS
Baboon,Robust_Mode,Crop 5%,35.21,0.8098,0.1953,FAIL
Lena,AI_Mode,No Attack,54.84,0.9797,0.0,PASS
Lena,AI_Mode,JPEG Q=90,35.37,0.9556,0.25,FAIL
Lena,AI_Mode,JPEG Q=70,34.04,0.9369,0.2161,FAIL
Lena,AI_Mode,Noise (Gauss),37.88,0.9444,0.2832,FAIL
Lena,AI_Mode,Crop 5%,35.12,0.8083,0.2783,FAIL
Lena,Robust_Mode,No Attack,55.1,0.9796,0.0,PASS
Lena,Robust_Mode,JPEG Q=90,35.37,0.9556,0.1981,FAIL
Lena,Robust_Mode,JPEG Q=70,34.04,0.9369,0.1887,FAIL
Lena,Robust_Mode,Noise (Gauss),37.9,0.9446,0.0,PASS
Lena,Robust_Mode,Crop 5%,35.14,0.8083,0.1562,FAIL
Peppers,AI_Mode,No Attack,54.96,0.9999,0.0,PASS
Peppers,AI_Mode,JPEG Q=90,33.65,0.9408,0.2225,FAIL
Peppers,AI_Mode,JPEG Q=70,32.7,0.8999,0.1975,FAIL
Peppers,AI_Mode,Noise (Gauss),38.02,0.967,0.2034,FAIL
Peppers,AI_Mode,Crop 5%,34.99,0.825,0.2422,FAIL
Peppers,Robust_Mode,No Attack,54.81,0.9998,0.0,PASS
Peppers,Robust_Mode,JPEG Q=90,33.65,0.9408,0.2005,FAIL
Peppers,Robust_Mode,JPEG Q=70,32.7,0.8999,0.184,FAIL
Peppers,Robust_Mode,Noise (Gauss),38.02,0.9672,0.0,PASS
Peppers,Robust_Mode,Crop 5%,34.99,0.8249,0.1562,FAIL
